"Intervals","Category","Count","Hurricane Intensity"
"(1965,1970]","5",1,"High"
"(1970,1975]","5",0,"High"
"(1975,1980]","5",0,"High"
"(1980,1985]","5",0,"High"
"(1985,1990]","5",0,"High"
"(1990,1995]","5",1,"High"
"(1995,2000]","5",0,"High"
"(2000,2005]","5",0,"High"
"(2005,2010]","5",0,"High"
"(2010,2015]","5",0,"High"
"(2015,2020]","5",0,"High"
